T,X,Hi,Lo
-6.00E+01,4.81E-04,4.99E-04,4.63E-04
-5.50E+01,4.71E-04,4.89E-04,4.53E-04
-5.00E+01,4.62E-04,4.79E-04,4.44E-04
-4.50E+01,4.52E-04,4.69E-04,4.35E-04
-4.00E+01,4.42E-04,4.60E-04,4.25E-04
-3.50E+01,4.33E-04,4.50E-04,4.16E-04
-3.00E+01,4.23E-04,4.40E-04,4.07E-04
-2.50E+01,4.14E-04,4.30E-04,3.97E-04
-2.00E+01,4.04E-04,4.21E-04,3.88E-04
-1.50E+01,3.95E-04,4.11E-04,3.78E-04
-1.00E+01,3.85E-04,4.01E-04,3.69E-04
-5.00E+00,3.76E-04,3.92E-04,3.59E-04
0.00E+00,3.66E-04,3.82E-04,3.50E-04
5.00E+00,3.57E-04,3.73E-04,3.41E-04
1.00E+01,3.47E-04,3.63E-04,3.31E-04
1.50E+01,3.37E-04,3.53E-04,3.21E-04
2.00E+01,3.28E-04,3.44E-04,3.12E-04
2.50E+01,3.18E-04,3.34E-04,3.02E-04
3.00E+01,3.09E-04,3.25E-04,2.93E-04
3.50E+01,2.99E-04,3.15E-04,2.83E-04
4.00E+01,2.90E-04,3.06E-04,2.74E-04
4.50E+01,2.80E-04,2.96E-04,2.64E-04
5.00E+01,2.71E-04,2.87E-04,2.54E-04
5.50E+01,2.61E-04,2.77E-04,2.45E-04
6.00E+01,2.51E-04,2.68E-04,2.35E-04
6.50E+01,2.42E-04,2.58E-04,2.26E-04
7.00E+01,2.32E-04,2.49E-04,2.16E-04
7.50E+01,2.23E-04,2.39E-04,2.06E-04
8.00E+01,2.13E-04,2.30E-04,1.97E-04
