t_wall_mm,d_alv_max_um,d_al_max_um,d_ser_max_um
0.5,0.468715723057738,0.0348272776069127,0.503543000664651
1,0.239240316977387,0.038065350938134,0.277305667915521
1.5,0.16288702432503,0.0417769384445733,0.204663962769603
2,0.124821034944724,0.0460590746351421,0.170880109579866
2.5,0.102075868577019,0.0510349857453098,0.153110854322328
3,0.0869964789008682,0.0568630551051137,0.143859534005982
3.5,0.0763025595675389,0.0637495842700928,0.140052143837632
4,0.0683543762792536,0.0719673041174095,0.140321680396663
4.5,0.0622413832786699,0.0818827993513637,0.144124182630034
5,0.057417676074573,0.09399811150029,0.151415787574863
5.5,0.0535362947082266,0.109015561266608,0.162551855974835
6,0.0503663825215553,0.127941873986506,0.178308256508061
6.5,0.0477485871722021,0.152261403752536,0.200009990924738
7,0.045569584186169,0.184236298540568,0.229805882726737
7.5,0.0437468008187223,0.227452220420455,0.271199021239177
8,0.0422188794665978,0.287869216469638,0.330088095936236
8.5,0.0409395194827615,0.37599244600116,0.416931965483921
9,0.0398733861628979,0.511767495946023,0.551640882108921
9.5,0.0389933284037847,0.736945194162273,0.775938522566058
10,0.038278450716382,1.15147686587855,1.18975531659493
10.5,0.0377127593264847,2.04706998378409,2.08478274311058
11,0.0372842052432292,4.6059074635142,4.64319166875743
11.5,0.0369840103539923,18.4236298540568,18.4606138644108
